Date,Open,High,Low,Close,Volume,Market Cap
Feb-10-2018,8697.34,9080.51,8282.27,8624.24,4794961601.21,146923735750.31
Feb-09-2018,8266.29,8708.00,7850.11,8684.11,4374319140.23,139813375515.40
Feb-08-2018,7569.87,8587.38,7569.87,8256.16,4511057946.20,139923626486.08
Feb-07-2018,7714.07,8503.33,7221.33,7587.93,5174580851.49,133718322412.77
Feb-06-2018,6911.00,7888.14,5963.24,7768.94,5255682912.87,115936410722.16
Feb-05-2018,8215.51,8343.18,6665.11,6905.96,4795001556.73,129986071801.31
Feb-04-2018,9198.07,9351.57,7986.36,8256.58,3993493752.47,147141784507.90
Feb-03-2018,8763.54,9417.79,8173.73,9191.27,4856472806.50,151010871500.66
Feb-02-2018,9118.23,9127.69,7588.55,8768.33,5511338158.36,144265487015.07
Feb-01-2018,10269.84,10332.95,8700.33,9171.25,4557095326.89,162034796737.13
Jan-31-2018,10104.97,10421.66,9755.97,10236.68,5056861149.34,169941072424.75
Jan-30-2018,11365.35,11366.82,10003.93,10084.50,4488869928.00,181011266089.91
Jan-29-2018,11778.74,11924.96,11236.00,11348.08,4406818761.12,192714118670.86
Jan-28-2018,11492.65,12113.08,11460.25,11865.23,6719212830.43,198082558702.68
Jan-27-2018,11112.82,11648.85,10943.32,11446.47,7210080913.51,190779837251.99
Jan-26-2018,11203.61,11668.43,10406.81,11123.95,7926703935.63,186594089305.96
Jan-25-2018,11353.63,11730.75,11027.01,11219.44,8775510518.35,192123000717.18
Jan-24-2018,10821.59,10821.59,10821.59,10821.59,8473730459.79,182164267415.07
Jan-23-2018,10917.29,11335.22,10113.38,10800.47,9191153509.35,181273974069.99
Jan-22-2018,11529.52,11950.62,10164.07,10917.31,8135625786.55,189107108572.01
Jan-21-2018,12982.92,12982.92,11241.30,11481.03,8556846220.20,199805387138.93
Jan-20-2018,11571.62,13482.69,11571.62,12961.21,9405841903.81,213472791318.78
Jan-19-2018,11209.29,12140.06,10839.80,11517.13,11002606473.27,196527383915.20
Jan-18-2018,11201.99,12348.93,10755.68,11305.31,15847953323.94,192666388610.12
Jan-17-2018,11284.39,11750.70,9300.53,11139.59,15748924942.63,180279809333.97
Jan-16-2018,13797.98,14430.17,9963.10,11445.85,12240679658.27,205856887976.89
Jan-15-2018,13787.99,14929.67,13663.14,13769.22,10282025656.51,234632138926.31
Jan-14-2018,14535.06,14661.40,13123.36,13815.43,11121051176.19,230699974615.23
Jan-13-2018,14066.98,14807.73,14066.98,14552.78,11643386357.61,241810847783.36
Jan-12-2018,13571.76,14364.99,13108.29,14089.11,12799444154.49,232155990926.14
